,,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC
Technology,,Bioenergy,Gas,Gas CCUS,Geothermal,Hydro,Solar,Tidal,Wave,Wind,Wind Offshore
Country code,Year,,,,,,,,,,
BRB,2015,21.24,20.51,21.24,22.42,20.76,20.76,21.09,21.09,21.09,22.07
BRB,2016,20.67,19.94,20.67,21.84,20.19,20.19,20.52,20.52,20.52,21.49
BRB,2017,20.29,19.57,20.29,21.47,19.82,19.82,20.15,20.15,20.15,21.12
BRB,2018,23.63,22.899999999999995,23.63,24.8,23.149999999999995,23.149999999999995,23.48,23.48,23.48,24.45
BRB,2019,15.919999999999998,15.190000000000001,15.919999999999998,17.08,15.440000000000001,14.6,15.77,15.77,15.77,16.74
BRB,2020,14.35,13.63,14.35,15.52,13.88,12.19,14.21,14.21,14.21,15.17
BRB,2021,14.839999999999998,14.12,14.839999999999998,16.01,14.37,12.68,14.699999999999998,14.699999999999998,14.699999999999998,15.660000000000002
BRB,2022,22.54,21.82,22.54,23.72,22.07,20.38,22.4,22.4,22.4,23.37
BRB,2023,19.48,18.75,19.48,20.64,19.0,17.32,19.33,19.33,19.33,20.3
BRN,2015,11.11,10.46,11.11,12.17,10.69,10.69,10.98,10.98,10.98,11.85
BRN,2016,10.69,10.04,10.69,11.74,10.27,10.27,10.56,10.56,10.56,11.43
BRN,2017,8.42,7.78,8.42,9.45,8.0,8.0,8.29,8.29,8.29,9.14
BRN,2018,9.1,8.45,9.1,10.13,8.68,8.68,8.97,8.97,8.97,9.82
BRN,2019,7.730000000000001,7.090000000000001,7.730000000000001,8.76,7.31,7.31,7.6,7.6,7.6,8.45
BRN,2020,6.96,6.32,6.96,8.0,6.54,6.54,6.83,6.83,6.83,7.69
BRN,2021,7.34,6.7,7.34,8.38,6.919999999999999,6.919999999999999,7.21,7.21,7.21,8.07
BRN,2022,9.57,8.93,9.57,10.61,9.15,9.15,9.45,9.45,9.45,10.3
BRN,2023,9.6,8.96,9.6,10.63,9.18,9.18,9.47,9.47,9.47,10.33
BWA,2015,8.65,8.03,8.65,9.66,8.24,8.24,8.53,8.53,8.53,9.36
BWA,2016,8.27,7.65,8.27,9.28,7.86,7.86,8.15,8.15,8.15,8.98
BWA,2017,8.17,7.55,8.17,9.17,7.76,7.76,8.04,8.04,8.04,8.87
BWA,2018,9.02,8.4,9.02,10.02,8.61,8.61,8.9,8.9,8.9,9.72
BWA,2019,7.92,7.3,7.92,8.92,7.51,7.51,7.790000000000001,7.790000000000001,7.790000000000001,8.62
BWA,2020,6.76,6.14,6.76,7.76,6.35,6.35,6.63,6.63,6.63,7.46
BWA,2021,7.44,6.82,7.44,8.44,7.03,7.03,7.31,7.31,7.31,8.14
BWA,2022,9.87,9.24,9.87,10.87,9.46,9.46,9.74,9.74,9.74,10.57
BWA,2023,10.11,9.48,10.11,11.11,9.7,9.7,9.98,9.98,9.98,10.81
CAN,2015,7.08,6.48,7.08,8.03,5.31,6.69,6.96,6.96,6.27,7.75
CAN,2016,6.73,6.14,6.73,7.68,4.96,6.34,6.61,6.61,5.92,7.4
CAN,2017,6.99,6.4,6.99,7.95,5.22,6.61,6.88,6.88,6.18,7.67
CAN,2018,7.63,7.04,7.63,8.58,5.86,7.239999999999999,7.510000000000001,7.510000000000001,6.82,7.61
CAN,2019,6.87,6.27,6.87,7.82,5.1,6.480000000000001,6.75,6.75,6.06,6.85
CAN,2020,5.78,5.19,5.78,6.74,4.01,5.4,5.67,5.67,4.97,5.76
CAN,2021,6.12,5.53,6.12,7.080000000000001,4.35,5.739999999999999,6.0,6.0,5.31,6.099999999999999
CAN,2022,7.66,7.06,7.66,8.61,5.89,7.27,7.54,7.54,6.85,7.64
CAN,2023,8.19,7.59,8.19,9.14,6.42,7.8,8.07,8.07,7.38,8.17
CHE,2015,7.489999999999999,6.86,7.489999999999999,8.51,5.6,7.08,7.360000000000001,7.360000000000001,7.360000000000001,8.21
CHE,2016,7.13,6.49,7.13,8.15,5.24,6.71,7.0,7.0,7.0,7.84
CHE,2017,7.42,6.79,7.42,8.44,5.53,7.0,7.29,7.29,7.29,8.13
CHE,2018,8.08,7.45,8.08,9.1,6.19,7.669999999999999,7.96,7.96,7.96,8.8
CHE,2019,7.279999999999999,6.65,7.279999999999999,8.3,5.39,6.13,7.15,7.15,7.15,8.0
CHE,2020,6.13,5.5,6.13,7.15,4.24,4.98,6.01,6.01,6.01,6.85
CHE,2021,6.5,5.87,6.5,7.52,4.61,5.349999999999999,6.37,6.37,6.37,7.22
CHE,2022,8.11,7.48,8.11,9.13,6.22,6.96,7.99,7.99,7.99,8.83
CHE,2023,8.69,8.06,8.69,9.71,6.81,7.54,8.57,8.57,8.57,9.41
CHL,2015,7.940000000000001,7.34,7.940000000000001,8.89,6.16,7.550000000000001,7.819999999999999,7.819999999999999,7.819999999999999,8.61
CHL,2016,7.57,6.98,7.57,8.53,5.8,6.49,7.45,7.45,6.76,8.24
