,iso3_code,index,onshore_wacc,offshore_wacc,solar_pv_wacc
232,URY,233,4.780812496660194,5.780812496660194,6.809443991972293
233,UZB,234,9.745328048967778,10.745328048967778,9.648858694807984
234,VAT,235,,,
235,VCT,236,11.480806078552495,12.480806078552495,11.574582129687641
236,VEN,237,19.328396638802403,20.328396638802403,19.807013697393693
237,VGB,238,,,
238,VIR,239,,,
239,VNM,240,8.22676206357264,9.22676206357264,7.54461306638279
240,VUT,241,,,
241,WLF,242,,,
242,WSM,243,,,
243,XKX,244,,,
244,XXA,245,,,
245,YEM,246,15.393630886249797,16.393630886249795,13.98476763673007
246,MYT,247,,,
247,ZAF,248,7.620118122369285,8.620118122369284,7.264637287924816
248,ZMB,249,14.025004581401635,15.025004581401635,14.112044024367393
249,ZWE,250,13.72111161853714,14.72111161853714,13.804408267888178
