Technology,Country,Country code,Year,WACC,,
Solar,Indonesia,IDN,2019,9.25,,
Solar,Mexico,MEX,2019,9.75,,
Solar,South Africa,ZAF,2019,10.25,,
Solar,Brazil,BRA,2021,13,,
Solar,India,IND,2021,9.75,,
Solar,Indonesia,IDN,2021,10,,
Solar,Mexico,MEX,2021,9.75,,
Solar,South Africa,ZAF,2021,10.25,,
Solar,Brazil,BRA,2022,5.742,,
Solar,Brazil,BRA,2022,15.25,,
Solar,Brazil,BRA,2022,13,,
Solar,Brazil,BRA,2022,8.689568333,,
Solar,Brazil,BRA,2022,11.5,,
Solar,Brazil,BRA,2022,10.5,,
Solar,Brazil,BRA,2022,12.41044373,,
Solar,Brazil,BRA,2022,10.06956833,,
Solar,Brazil,BRA,2022,10.66956833,,
Solar,Brazil,BRA,2022,7.92,,
Solar,Brazil,BRA,2022,8,,
Solar,Brazil,BRA,2022,6.699,,
Solar,Brazil,BRA,2022,17.25,,
Solar,Brazil,BRA,2022,13,,
Solar,Brazil,BRA,2022,8.689568333,,
Solar,Brazil,BRA,2022,14,,
Solar,Brazil,BRA,2022,11,,
Solar,Brazil,BRA,2022,12.61428357,,
